nombre_grado,centros
Publicidad y Creación de Marca,"Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.com secretaria.alumnos@udit.es"
Artes Digitales / Bachelor of Digital ArtsÁrea de Entorno Digital Rama de conocimiento Ciencias Sociales y Jurídicas,"Universidad Camilo José Cela (Privada) Facultad de Tecnología y Ciencia Campus Almagro C/ Almagro, 5 28010 Madrid Tel.: 91 298 01 23 ucjc@ucjc.edu"
Comunicación Digital,"Universidad Rey Juan Carlos (Pública) Facultad de Ciencias de la Comunicación Campus de Fuenlabrada Camino del Molino, 5 28942 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es Universidad San PabloCEU (Privada) Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa Paseo de Juan XXIII, 10 28040 Madrid Tels.: 91 514 04 04 / 91 456 63 00 www.uspceu.com info.usp@ceu.esGrado en Comunicación Digital"
Diseño Digital y Multimedia,"Universidad Antonio de Nebrija (Privada) Facultad de Comunicación y Artes Campus MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tel.: 91 452 11 03 www.nebrija.com informa@nebrija.com"
Diseño y Gestión de Proyectos Transmedia,"Centro Superior de Estudios Universitarios La Salle (Adscrito de titularidad privada a la Universidad Autónoma de Madrid) C/ La Salle,10 28023 Madrid Tel.: 91 740 19 80 www.lasallecentrouniversitario.es sia@lasallecampus.esGrado en Diseño y Gestión de Proyectos Transmedia"
Gestión de la Información y Contenidos Digitales / Comunicación y Medios Digitales,"de Grado en Gestión de la Información y Contenidos Digitales Universidad Carlos III de Madrid (Pública) Facultad de Humanidades, Comunicación y Documentación C/ Madrid,133 28903 Getafe (Madrid) Tel.: 91 624 06 00 www.uc3m.es futuroestudiantes@uc3m.esDirecciones de los centros donde se imparte la de Grado en Comunicación y Medios Digitales Centro de Estudios Superiores Instituto de Empresa. Centro priva do adscrito a IE University (Privada) Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu university@ie.edu"
Gestión de la Ciberseguridad,"Universidad Francisco de Vitoria (Privada) Facultad de Derecho, Empresa y Gobierno Ctra. PozueloMajadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tel.: 91 351 03 03 www.ufv.es info@ufv.es"
Creación y Narración de Videojuegos,"Universidad Francisco de Vitoria (Privada) Facultad de Ciencias de la Comunicación Ctra. de Pozuelo a Majadahonda, Km. 1800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es"
Trabajo SocialÁrea de Trabajo Social Rama de conocimiento Ciencias Sociales y Jurídicas,"Centro Superior de Estudios Universitarios La Salle (Adscrito de titularidad privada a la Universidad Autónoma de Madrid) C/ La Salle, 10 28023 Madrid Tel.: 91 740 19 80 www.lasallecentrouniversitario.es sia@lasallecampus.es Universidad Complutense de Madrid (Pública) Facultad de Trabajo Social Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 394 29 99 / 27 34 / 36 / 43 www.ucm.es infotrs@trs.ucm.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Derecho Campus Moncloa C/ Obispo Trejo, 2 28040 Madrid Tels.: 91 398 81 33 / 61 09 www.uned.es negociadosecretaria@der.uned.es Universidad Pontificia Comillas (Privada) Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco C/ Universidad de Comillas, 35 28049 Madrid Tel.: 91 452 28 00 www.comillas.edu grado@comillas.edu Universidad Rey Juan Carlos (Pública) Facultad de Ciencias Jurídicas y Política Campus de Alcorcón Avda. de Atenas, s/n 28922 Alcorcón (Madrid) Tels.: 91 488 89 17 / 91 488 88 00 www.urjc.es alcorcon.secretariadealumnos@urjc.es"
Empresas y Actividades Turísticas,"de Grado en Turismo Universidad de Alcalá (Pública) Facultad de Ciencias Económicas, Empresariales y Turismo Campus Guadalajara Edificio Multidepartamental C/ Cifuentes, 28 19003 Guadalajara Tels.: 949 20 96 60 / 87 www.uah.es/facultadcceeturismo secretaria.multidepar@uah.es Universidad Antonio de Nebrija (Privada) Facultad de Economía y Empresa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tel.: 91 452 11 03 www.nebrija.com informa@nebrija.comUniversidad Autónoma de Madrid (Pública) Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco C/ Francisco Tomás y Valiente, 5 28049 Madrid Tel.: 91 497 62 88 www.uam.es grado.turismo.econominas@uam.es Universidad Carlos III de Madrid (Pública) Campus de Getafe C/ Madrid,126 28903 Getafe (Madrid) Tel: 91 624 60 00 www.uc3m.es futurosestudiantes@uc3m.es Universidad Complutense de Madrid (Pública) Facultad de Comercio y Turismo Avda. Filipinas, 3 28003 Madrid Tels.: 91 394 67 67 / 66 www.ucm.es alumnos.fct@ucm.es 3 Universidad Nacional de Educación a Distancia UNED (Pública) Facultad Ciencias Económicas y Empresariales Paseo Senda del Rey, 11 28040 Madrid Tels.: 91 398 63 04 / 06 / 07 / 08 www.uned.es negociado.economicas@adm.uned.es Universidad Rey Juan Carlos (Pública) (también en inglés y semipresencial) Facultad de Ciencias de la Economía y de la Empresa Facultad de Ciencias de la Econo mía y de la Empresa Campus de Madrid Paseo Artilleros, s/n 28032 Vicálvaro (Madrid) Tels.: 91 488 78 00 / 79 27 / 79 28 www.urjc.es madrid.secretariaalumnos@urjc.es Facultad de Ciencias de la Economía y de la Empresa Campus Fuenlabrada Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.esDirecciones de los centros donde se imparte la de Grado en Empresas y Actividades Turísticas Universidad a Distancia de Madrid UDIMA (Privada) Facultad Ciencias Económicas y Empresariales Ctra. de La Coruña, Km. 38,500 Vía de servicio, 15 28400 Collado Villalba (Madrid) Tels.: 91 189 69 99 / 902 020 003 www.udima.es informa@udima.es"
"Comunicación Corporativa, Protocolo y Organización de Eventos","de Grado en Protocolo y Organización de Eventos Universidad Camilo José Cela (Privada) Facultad de Comunicación y Humanidades Campus Villafranca C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.edu Direcciones de los centros donde se imparte la de Grado en Protocolo, Organización de Eventos y Comunicación Corporativa Universidad Rey Juan Carlos (Pública) Facultad de Ciencias de la Comunicación Campus Madrid Paseo Artilleros, s/n 28032 Vicálvaro (Madrid) Tels.: 91 488 79 27 / 28 www.urjc.es mostoles.secretariadealumnos@urjc.es Facultad de Ciencias de la Comunicación Campus Madrid Sede Quintana (en inglés) C/ Quintana, 21 28008 Madrid Tel.: 91 488 83 46 www.urjc.es ferraz.secretariadealumnos@urjc.esDirecciones de los centros donde se imparte la de Grado en Comunicación Corporativa, Protocolo y Organización de Eventos Universidad Antonio de Nebrija (Privada) Facultad de Comunicación y Artes Campus MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tels.: 91 452 11 01 / 900 321 322 www.nebrija.com informa@nebrija.com"
Biología 6. Estudios,"Universidad de Alcalá (Pública) Facultad de Ciencias Campus CientíficoTecnológico Crta. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid) Tel.: 91 885 49 16 www.uah.es/facultadciencias decanato.biologia@uah.es Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Edificio de Biología Campus Cantoblanco C/ Darwin, 2 28049 Madrid Tels.: 91 497 43 31 / 83 46 www.uam.es informacion.ciencias@uam.es Universidad Complutense de Madrid (Pública) Facultad de Ciencias Biológicas C/ José Antonio Novais,12 Ciudad Universitaria 28040 Madrid Tels.: 91 394 50 29 / 52 / 68 www.ucm.es biosecrest@ucm.esUniversidad Rey Juan Carlos (Pública) Escuela Superior de Ciencias Experimentales y Tecnología Campus Mostoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 91 664 74 18 www.urjc.es escet.director@urjc.es"
Biología 6. Estudios,"Universidad Alfonso X El Sabio (Privada) Facultad de Farmacia Campus de Villanueva de la Cañada Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid) Tel.: 91 810 92 00 www.uax.es info@uax.es Universidad Europea de Madrid (Privada) Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón C/ Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tels.: 91 740 72 72 / 91 414 66 11 www.universidadeuropea.es/madrid ads@universidadeuropea.es Universidad Francisco de Vitoria (Privada) Facultad de Ciencias Experimentales Ctra. de Pozuelo a Majadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tel.: 91 351 03 03 www.ufv.es info@ufv.es Universidad San Pablo CEU (Privada) Facultad de Farmacia Campus de Montepríncipe Urb. Montepríncipe 28925 Alcorcón (Madrid) Tel.: 91 372 47 00 www.uspceu.com info.usp@ceu.es"
Biología 6. Estudios,"Grado conjunto de la Universidad Carlos III de Madrid, la Universidad Autónoma de Madrid y la Universidad Autònoma de Barcelona. Grado con menciones en Ciencias de la Tierra y Medioambiente, Ciencia y Tecnolo gía y Biociencias. Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Edificio de Biología Campus de Cantoblanco C/ Darwin, 2 28049 Madrid Tel.: 91 497 83 49 www.uam.es informacion.ciencias@uam.es Universidad Carlos III de Madrid (Pública) Escuela Politécnica Superior Edificio Sabatini, planta baja Campus Leganés Avda. de la Universidad, 30 28911 Leganés (Madrid) Tel.: 91 624 60 00 www.uc3m.es futurosestudiantes@uc3m.esUniversidad"
Ciencias Experimentales,"Universidad Rey Juan Carlos (Pública) Escuela Superior de Ciencias Experimentales y Tecnología Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 91 664 74 18 www.urjc.es escet.director@urjc.es"
Nanociencia y Nanotecnología,"Universidad Rey Juan Carlos (Pública) Escuela Superior de Ciencias Experimentales y Tecnología Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 91 665 50 61 www.urjc.es escet.estudiantes@urjc.es"
Ciencia y Tecnología,"Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Edificio de Ciencias de los Alimentos Campus de Cantoblanco C/ Max, 10 28049 Madrid Tels.: 91 394 43 31 / 83 46 www.uam.es informacion.ciencias@uam.es Universidad Complutense de Madrid (Pública) Facultad de Veterinaria Avda. Puerta del Hierro, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 38 76 / 38 82 www.ucm.es gervet@ucm.es Universidad Rey Juan Carlos (Pública) Escuela Superior de Ciencias Experimentales y Tecnología Campus Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 91 664 74 18 www.urjc.es escet.director@urjc.es"
Ciencias Ambientales y Sostenibilidad,"de grado en Ciencias Ambientales Universidad de Alcalá (Pública) Facultad de Ciencias Campus Científico Tecnológico Ctra. Madrid Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid) Tel.: 91 885 51 13 www.uah.es/facultadciencias decanato.ambientales@uah.es Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Campus de Cantoblanco Edificio Biología C/ Darwin, 2 28049 Madrid Tel.: 91 497 83 46 www.uam.es informacion.ciencias@uam.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Ciencias Paseo Senda del Rey, 9 28040 Madrid Tels.: 91 398 89 03 / 67 32 / 71 04 www.uned.es negociado.ambientales@adm.uned.esUniversidad Rey Juan Carlos (Pública) Escuela Superior de Ciencias Experimentales y Tecnología Campus de Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 91 664 74 18 www.urjc.es escet.director@urjc.es Direcciones de los centros donde se imparte la de Grado en Medio Ambiente y Sostenibilidad Universidad Europea de Madrid (Privada) Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón C/ Tajo, s/n. Edificio A Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@uem.es 3 Direcciones de los centros donde se imparte la de Grado en Ciencias Ambientales y Sostenibilidad Centro de Estudios Superiores Instituto de Empresa. Centro privado adscrito a IE University (Privada) (en inglés) Facultad de Ciencias Humanas, Sociales y de Comunicación Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu university@ie.edu"
Recursos Hídricos,"Universidad Rey Juan Carlos (Pública) Escuela Superior de Ciencias Experimentales y Tecnología Campus Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 916 64 74 18 www.urjc.es escet.director@urjc.es"
Ciencias Agrarias y Bioeconomía,"Universidad Politécnica de Madrid (Pública) Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas Campus Ciudad Universitaria Avda. Puerta de Hierro, 2 4 28040 Madrid Tels.: 91 067 07 24 / 43 www.etsiaab.upm.es secretaria.alumnos.etsiaab@upm.es gestion.administrativa.etsiaab@upm.es"
Ciencias Agrarias y Bioeconomía,"Universidad de Alcalá (Pública) Facultad de Ciencias Campus CientíficoTecnológico Ctra. MadridBarcelona, Km 33,600 28805 Alcalá de Henares (Madrid) Tel.: 91 885 51 13 www.uah.es/facultadciencias deca.criminalistica@uah.es"
Física,"de Física Universidad Alfonso X El Sabio (Privada) Escuela Politécnica Superior Campus de Villanueva de la Cañada Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid) Tel.: 91 810 92 00 www.uax.es info@uax.es Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Campus Cantoblanco C/ Francisco Tomás y Valiente, 7 28049 Madrid Tel.: 91 497 43 31 www.uam.es informacion.ciencias@uam.es Universidad Complutense de Madrid (Pública) Facultad de Ciencias Físicas Ciudad Universitaria Plaza de Ciencias, 1 28040 Madrid Tels.: 91 394 46 27 / 48 www.ucm.es infofisicas@ucm.esUniversidad Europea de Madrid (Privada) Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón C/ Tajo, s/n Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tels.: 91 740 72 72 / 91 414 66 11 www.universidadeuropea.es/madrid ads@universidadeuropea.es Universidad Internacional de la Empresa UNIE (Privada) Campus Arapiles Facultad de CC. Sociales Aplicadas y de la Comunicación C/ Arapiles, 14. 28015 Madrid Tel.: 91 903 22 01 www.universidadunie.com admisiones.grado@universidadunie.com Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Ciencias Paseo Senda del Rey, 9 28040 Madrid Tels.: 91 398 71 15 / 71 04 www.uned.es negociado.alumnos.fisicas@adm.uned.es"
Física e Instrumentación Espacial,"Universidad de Alcalá (Pública) Facultad de Ciencias Campus CientíficoTecnológico Crta. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid) Tel.: 91 885 49 16 www.uah.es/facultadciencias decanato.biologia@uah.es"
Física Aplicada,"Universidad Antonio de Nebrija (Privada) Escuela Politécnica Superior Campus Madrid Princesa C/ Santa Cruz de Marcenado, 27. 28015 Madrid Tel.: 91 452 11 03 www.nebrija.com informa@nebrija.es"
Geología Realizan: Estudios del interior y exterior de la tierra. Búsqueda,"Universidad Complutense de Madrid (Pública) Facultad de Ciencias Geológicas C/ José Antonio Novais, 12 Ciudad Universitaria 28040 Madrid Tels.: 91 394 48 37 / 51 09 www.ucm.es infoweb@geo.ucm.es"
Matemáticas Aplicadas,"de Grado en Matemáticas Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Campus Cantoblanco C/ Francisco Tomás y Valiente, 7 28049 Madrid Tel.: 91 497 43 31 www.uam.es informacion.ciencias@uam.es Universidad Complutense de Madrid (Pública) Facultad de Ciencias Matemáticas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel.: 91 394 46 24 www.ucm.es sdamat@ucm.es Universidad Rey Juan Carlos (Pública) Escuela Técnica Superior de Ingeniería Informática Campus Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 91 488 76 23 www.urjc.es etsii.info@urjc.esUniversidad Politécnica de Madrid (Pública) Escuela Politécnica de Enseñanza Superior (EPES) Centro de impartición de la docencia: Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas Avda. Puerta de Hierro, 24 28040 Madrid www.epes.upm.es secretaria.epes@upm.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Ciencias Paseo Senda de Rey, 9 28040 Madrid Tels.: 91 398 71 06 / 91 398 71 04 www.uned.es negociado.alumnos.matematicas@ adm.uned.es Universidad Internacional de la Empresa UNIE (Privada) Campus Arapiles Facultad de CC. Sociales Aplicadas y de la Comunicación C/ Arapiles, 14. 28015 Madrid Tel.: 91 903 22 01 www.universidadunie.com admisiones.grado@universidadunie.com 3 Direcciones de los centros donde se imparte la de Grado en Matemáticas Aplicadas Universidad Antonio de Nebrija (Privada) Escuela Politécnica Superior Campus Madrid Princesa C/ Santa Cruz de Marcenado, 27. 28015 Madrid Tel.: 91 452 11 03 www.nebrija.com informa@nebrija.es Centro de Estudios Superiores Instituto de Empresa. Centro privado adscrito a IE University (Privada) (en inglés) Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu.es university@ie.edu"
Matemáticas y Ciencia de Datos,"Universidad Complutense de Madrid (Pública) Facultad de Ciencias Matemáticas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel.: 91 394 46 24 www.ucm.es sdamat@ucm.es"
Bioquímica,"Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Campus Cantoblanco C/ Francisco Tomás y Valiente, 7 28049 Madrid Tels.: 91 497 43 31 / 49 www.uam.es www.uam.es/oae/contacto Universidad Complutense de Madrid (Pública) Facultad de Ciencias Químicas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel.: 91 394 42 98 www.ucm.es informacion@ucm.es"
Química Tienen,"Universidad de Alcalá (Pública) Facultad de Ciencias Campus CientíficoTecnológico Ctra. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid) Tel.: 91 885 49 05 www.uah.es/facultadciencias decanato.quimica@uah.es Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Campus Cantoblanco C/ Francisco Tomás y Valiente, 7 28049 Madrid Tel.: 91 497 68 79 www.uam.es www.uam.es/oae/contacto Universidad Complutense de Madrid (Pública) Facultad de Ciencias Químicas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel.: 91 394 42 98 www.ucm.es informacion@ucm.esUniversidad Nacional de Educación a Distancia UNED (Pública) Facultad de Ciencias Paseo Senda del Rey, 9 28040 Madrid Tel.: 91 398 71 14 www.uned.es infouned@adm.uned.es"
Biología Sanitaria,"Universidad de Alcalá (Pública) Facultad de Ciencias Campus CientíficoTecnológico Ctra. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid) Tel.: 91 885 49 16 www.uah.es/facultadciencias decanato.biologia@uah.es"
Biología Sanitaria,Universidad San Pablo CEU (Privada) Facultad de Farmacia Campus de Montepríncipe Urb. Montepríncipe 28925 Alcorcón (Madrid) Tel.: 91 372 47 00 www.uspceu.com info.usp@ceu.es
Ciencias de la Actividad Física y del Deporte,"Universidad de Alcalá (Pública) Facultad de Medicina y Ciencias de la Salud Campus CientíficoTecnológico Ctra. de Barcelona, Km. 33,600 28771 Alcalá de Henares (Madrid) Tel.: 91 885 48 55 www.medicinaycienciasdelasalud.uah.es decanato.ccafyde@uah.es Universidad Alfonso X El Sabio (Privada) Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid) Tel.: 91 810 92 00 www.uax.es info@uax.es Universidad Camilo José Cela (Privada) Facultad de Salud C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.eduUniversidad Francisco de Vitoria (Privada) Facultad de Ciencias CC. de la Salud Ctra. Pozuelo Majadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tel.: 91 351 03 03 www.ufv.es info@ufv.es"
Enfermería,"Universidad de Alcalá (Pública) Facultad de Medicina y Ciencias de la Salud Campus CientíficoTecnológico Ctra. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid) Tels.: 91 885 45 74 / 47 01 www.medicinaycienciasdelasalud.uah.es decanato.enfermyfisiot@uah.es Facultad de Medicina y Ciencias de la Salud Campus Guadalajara C/ Cifuentes, 28 Edificio Multidepartamental 19003 Guadalajara Tel.: 949 20 96 05 www.medicinaycienciasdelasalud.uah.es euenfermeria.guada@uah.es / ciu@uah.es Universidad Alfonso X El Sabio (Privada) Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid) Tel.: 91 810 92 00 www.uax.es info@uax.es Universidad Antonio de Nebrija (Privada) Facultad de CC. de la Vida y de la Naturaleza Campus de La Berzosa C/ del Hostal s/n 28240 Hoyo de Manzanares (Madrid) Tel.: 91 452 11 01/ 900 321 322 www.nebrija.com informa@nebrija.es Universidad Autónoma de Madrid (Pública) Facultad de Medicina Campus Medicina UAM C/ Arzobispo Morcillo, 4 28029 Madrid Tels.: 91 497 54 58 / 54 86 www.uam.es informacion.medicina@uam.es Escuela Universitaria de Enfermería Jiménez Díaz (Adscrita de titularidad privada a la Universidad Autónoma de Madrid) Campus Hospital universitario Fundación Jiménez Díaz Avda. Reyes Católicos, 2 28040 Madrid Tels.: 91 550 48 63 / 64 www.fjd.es/escuela_enfermeria euenfermeria.fjd@fjd.es Campus Hospital Universitario General de Villalba Acceso desde el Hospital Universitario General de Villalba Bloque A. 2ª Plta Ctra. de Alpedrete a Moralzarzal M608 Km. 41 28400 Collado Villalba (Madrid) Tel.: 910 900 744 www.fjd.es/escuela_enfermeria euenfermeria.fjd@fjd.es Escuela Universitaria de Enfermería Cruz Roja (Adscrita de titularidad privada a la Universidad Autónoma de Madrid) Avda. Reina Victoria, 28. 4ª planta 28003 Madrid Tel.: 91 534 36 49 www.uam.es www./euenfermeriacruzroja.com Universidad Camilo José Cela (Privada) Facultad de Salud C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.es Universidad Complutense de Madrid (Pública) Facultad de Enfermería, Fisioterapia y Podología Pza. Ramón y Cajal, 3 Ciudad Universitaria 28040 Madrid Tels.: 91 394 15 24 / 27 / 30 / 36 www.ucm.es secre.decaenf@ucm.es secre.alumnos@enf.ucm.es Universidad Europea de Madrid (Privada) Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón C/ Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tels.: 91 740 72 72 / 91 414 66 11 www.universidadeuropea.es ads@uem.es Universidad Francisco de Vitoria (Privada) Facultad de Ciencias de la Salud Ctra. Pozuelo Majadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.esUniversidad Pontificia Comillas (Privada) Escuela Universitaria de Enfermería y Fisioterapia “San Juan de Dios” Avda. de San Juan de Dios, 1 28350 Ciempozuelos (Madrid) Tel.: 91 893 37 69 www.comillas.edu oia@comillas.edu Campus CC de la Salud San Rafael Paseo de la Habana, 70 Bis 28016 Madrid Tel.: (+34) 915 641 868 www.comillas.edu oia@comillas.edu Universidad Rey Juan Carlos (Pública) Facultad de Ciencias de la Salud Campus de Alcorcón Avda. de Atenas, s/n 28922 Alcorcón (Madrid) Tels.: 91 488 89 17 / 91 488 93 93 www.urjc.es alcorcon.secretariadealumnos@urjc.es Universidad San PabloCEU (Privada) Facultad de Medicina Campus de Monteprincipe Urb. Montepríncipe 28925 Alcorcón (Madrid) Tel.: 91 372 47 00 www.uspceu.com info.usp@ceu.es"
Farmacia,"Universidad de Alcalá (Pública) Facultad de Farmacia Campus CientíficoTecnológico Ctra. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid) Tels.: 91 885 46 69 / 46 50 / 48 10 / 45 02 www.uah.es/medicina decanato.farmacia@uah.es Universidad Alfonso X El Sabio (Privada) Facultad de Farmacia Campus de Villanueva de la Cañada Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid) Tel.: 91 810 92 00 www.uax.es info@uax.es Universidad Camilo José Cela (Privada) Facultad de Salud C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid) Tel.: 91 815 31 31 www.ucjc.edu info@ucjc.esUniversidad Complutense de Madrid (Pública) Facultad de Farmacia Campus de Moncloa Plaza de Ramón y Cajal, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 72 19 / 17 05 / 17 12 www.ucm.es información@ucm.es Universidad Europea de Madrid (Privada) Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tels.: 91 740 72 72 / 91 414 66 11 www.universidadeuropea.es/madrid ads@universidadeuropea.es Universidad Francisco de Vitoria (Privada) Facultad de Ciencias Experimentales Ctra. PozueloMajadahonda, Km. 1800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es Universidad Rey Juan Carlos (Pública) Facultad de Ciencias de la Salud Campus Alcorcón Avda. de Atenas, s/n 28922 Alcorcón (Madrid) Tels.: 91 488 89 17 / 91 488 93 93 www.urjc.es alcorcon.secretariadealumnos@urjc.es Universidad San PabloCEU (Privada) Facultad de Farmacia Campus de Montepríncipe Urb. Montepríncipe 28925 Alcorcón (Madrid) Tel.: 91 372 47 00 www.uspceu.com info.usp@ceu.es"
