nombre_grado,universidad,tipo,facultad,direccion,telefonos,webs,emails
Magisterio en Educación Infantil,Universidad Internacional Villanueva,Privada,Facultad de Ciencias Sociales y Jurídicas,"C/ de la Costa Brava, 6 28034 Madrid",91 734 04 13,www.villanueva.edu,info@villanueva.edu
Magisterio en Educación Infantil,Universidad a Distancia de MadridUDIMA,Privada,Facultad CC,,91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es
Magisterio en Educación Primaria,Universidad Antonio de Nebrija,Privada,Facultad de Lenguas y Educación Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27",91 452 11 03,www.nebrija.com,informa@nebrija.com
Magisterio en Educación Primaria,Universidad Francisco de Vitoria,Privada,Facultad de Educación y Psicología Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Magisterio en Educación Primaria,Universidad Internacional de la Em presa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com
Magisterio en Educación Primaria,Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco,"C/ Universidad de Comillas, 35 28049 Madrid",91 452 28 00,www.comillas.edu,grado@comillas.edu
Magisterio en Educación Primaria,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Sociales Campus Madrid,"Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariadealumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
Magisterio en Educación Primaria,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Sociales Campus Madrid,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariadealumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
Magisterio en Educación Primaria,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Sociales Campus Madrid,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariadealumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
Magisterio en Educación Primaria,Universidad San Pablo CEU,Privada,Facultad de Ciencias Económicas y Empresariales Campus Moncloa,"C/ Julián Romea, 23 28003 Madrid",91 456 63 00,www.uspceu.com,info.usp@ceu.es
Magisterio en Educación Primaria,Universidad de Alcalá,Pública,Facultad de Educación Campus Guadalajara,"C/ Madrid, 1 19001 Guadalajara",949 20 96 60,www.uah.es/facultadeducacion,escuela.magisterio@uah.es
Magisterio en Educación Primaria,Universidad Camilo José Cela,Privada,,,91 993 00 16,www.ceie.es,
Magisterio en Educación Primaria,Universidad Internacional Villanueva,Privada,Facultad de Ciencias Sociales y Jurídicas,"C/ de la Costa Brava, 6 28034 Madrid",91 734 04 13,www.villanueva.edu,info@villanueva.edu
Magisterio en Educación Primaria,Universidad a Distancia de MadridUDIMA,Privada,Facultad CC,,91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es
Magisterio en Educación Primaria,Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,C/ Tajo s/n. Urbanización El Bosque Edificio E 28670 Villaviciosa de Odón (Madrid),91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Educación Social,Universidad Francisco de Vitoria,Privada,Facultad de Educación y Psicología Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Educación Social,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Educación,"C/ Juan del Rosal, 14 28040 Madrid",91 398 82 80,www.uned.es,secre.edu@adm.uned.es
Pedagogía,Universidad Camilo José Cela,Privada,Facultad de Educación Campus Villafranca,"C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu
Pedagogía,Universidad Complutense de Madrid,Pública,Facultad de Educación Campus Ciudad Universitaria Edificio La Almudena,"C/ Rector Royo Villanova, s/n Ciudad Universitaria 28040 Madrid",91 394 61 19,www.ucm.es,secre.alumnos@edu.ucm.es
Administración y Dirección de Empresas,,,,,,,
Administración y Dirección de Empresas,Universidad Internacional Villanueva,Privada,Facultad de Ciencias Sociales y Jurídicas,"C/ de la Costa Brava, 6 28034 Madrid",91 734 04 13,www.villanueva.edu,info@villanueva.edu
Administración y Dirección de Empresas,,,,"Avda. de Valdenigrales, s/n 28224 Pozuelo de Alarcón (Madrid)",91 350 12 12 / 91 452 41 00,www.eserp.com | www.esic.edu/university,info.madrid@esic.edu | info@eserp.com
Administración y Dirección de Empresas,,,,"C/ Costa Rica, 9 28016 Madrid",91 350 12 12 / 91 452 41 00,www.eserp.com | www.esic.edu/university,info.madrid@esic.edu | info@eserp.com
Administración y Dirección de Empresas,Universidad de Alcalá,Pública,"Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico","Pza. de la Victoria, s/n 28802 Alcalá de Henares (Madrid)",91 885 43 13 / 949 20 96 60,www.uah.es,sealum.economicas@uah.es | secretaria.multidepar@uah.es
Administración y Dirección de Empresas,Universidad de Alcalá,Pública,"Facultad de Ciencias Económicas, Empresariales y Turismo Campus Histórico","C/ Cifuentes, 28 Edificio Multidepartamental 19003 Guadalajara",91 885 43 13 / 949 20 96 60,www.uah.es,sealum.economicas@uah.es | secretaria.multidepar@uah.es
Administración y Dirección de Empresas,Universidad Alfonso X El Sabio,Privada,Facultad de Estudios Sociales y Lenguas Aplicadas,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Administración y Dirección de Empresas,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 5 28049 Madrid",91 497 62 93,www.uam.es,grado.ade.economicas@uam.es
Administración y Dirección de Empresas,Universidad San PabloCEU,Privada,Facultad de Ciencias Económicas y Empresariales Campus de Moncloa,"C/ Julián Romea, 18 28003 Madrid",91 514 04 04 / 91 903 22 01,www.universidadunie.com | www.uspceu.com,info.usp@ceu.es
Administración y Dirección de Empresas,Universidad San PabloCEU,Privada,Facultad de Ciencias Económicas y Empresariales Campus de Moncloa,"C/ Arapiles, 14. 28015 Madrid",91 514 04 04 / 91 903 22 01,www.universidadunie.com | www.uspceu.com,info.usp@ceu.es
Administración y Dirección de Empresas,Universidad San PabloCEU,Privada,Facultad de Ciencias Económicas y Empresariales Campus de Moncloa,"Avda. de España, 4. 28760 Tres Cantos (Madrid)",91 514 04 04 / 91 903 22 01,www.universidadunie.com | www.uspceu.com,info.usp@ceu.es
Administración y Dirección de Empresas,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels,,91 394 29 99,www.hwrberlin.de/en | www.ucm.es,informacion@ucm.es
Administración y Dirección de Empresas,Universidad a Distancia de MadridUDIMA,Privada,Facultad CC,"Crta. de La Coruña, Km. 38,500 Vía de Servicio. A6 15 28400 Collado Villalba (Madrid)",902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es
Administración y Dirección de Empresas,Universidad Europea de Madrid,Privada,Facultad de CC,C/ Tajo s/n. Urbanización El Bosque Edificio E 28670 Villaviciosa de Odón (Madrid),91 211 50 10 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Administración y Dirección de Empresas,Universidad Europea de Madrid,Privada,Facultad de CC,"Avda. de Fernando Alonso, 8 28108 Alcobendas (Madrid)",91 211 50 10 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Administración y Dirección de Empresas,Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Administración y Dirección de Empresas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus de Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
Administración y Dirección de Empresas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus de Fuenlabrada,"Paseo Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
Administración y Dirección de Empresas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus de Fuenlabrada,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
Dirección y Gestión de Empresas en el Ámbito Digital,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus Madrid,"Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 70 26,www.urjc.es,madrid.secretariaalumnos@urjc.es
Dirección y Gestión de Empresas en el Ámbito Digital,,,,"Avda. de Valdenigrales, s/n 28224 Pozuelo de Alarcón (Madrid)",91 452 41 00,www.esic.edu/university,info.madrid@esic.edu
"Creación, Administración y Dirección de Empresas",Universidad Antonio de Nebrija,Privada,Facultad de Economía y Empresa Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.es
"Creación, Administración y Dirección de Empresas",Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Campus de Madrid,"Paseo Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 78 00,www.urjc.es,madrid.secretariaalumnos@urjc.es
Emprendimiento y Gestión de Empresas,Universidad Camilo José Cela,Privada,Facultad de Tecnología y Ciencia Campus de Almagro,"C/ Almagro, 5 28010 Madrid",91 298 01 23,www.ucjc.edu,info@ucjc.edu
Gastronomía,Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Gastronomía e Innovación Culinaria,Universidad Pontificia Comillas,Privada,,"C/ Alberto Aguilera, 23 28015 Madrid",91 542 28 00,www.comillas.edu,grado@comillas.edu
Gastronomía e Innovación Culinaria,Universidad Pontificia Comillas,Privada,,"C/ Serrano, 95 28006 Madrid",91 542 28 00,www.comillas.edu,grado@comillas.edu
Empresa y Tecnología / Bachelor of Management and Tecnology,Universidad Camilo José Cela,Privada,Facultad de Tecnología y Ciencia,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu
Empresa y Tecnología / Bachelor of Management and Tecnology,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas Campus de Colmenarejo,"Avda. Universidad Carlos III, 22 28270 Colmenarejo (Madrid)",91 624 60 00,www.uc3m.es,futuroestudiantes@uc3m.es
Empresa y Tecnología / Bachelor of Management and Tecnology,,,,"C/ Pirineos, 55 28040 Madrid",91 444 51 61,www.cunef.edu,info@cunef.edu
Gestión Empresarial basada en el Análisis de Datos (Business Analytics),Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Urbanización El Bosque Edificio E 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Gestión Empresarial basada en el Análisis de Datos (Business Analytics),Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Gestión Empresarial basada en el Análisis de Datos (Business Analytics),Universidad Internacional de la Em presa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com
Gestión Empresarial basada en el Análisis de Datos (Business Analytics),Universidad Internacional de la Em presa UNIE,Privada,Facultad de CC,"Avda. de España, 4. 28760 Tres Cantos (Madrid)",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com
Gestión Empresarial basada en el Análisis de Datos (Business Analytics),Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 5 28049 Madrid",91 497 62 93,www.uam.es,grado.ade.economicas@uam.es
Inteligencia de Negocios Business Intelligence,Universidad Alfonso X El Sabio,Privada,Facultad de Estudios Sociales y Lenguas Aplicadas,"Avda. de la Universidad,1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Estadística AplicadaÁrea de Estadística Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Complutense de Madrid,Pública,Facultad de Estudios Estadísticos,"Avda. Puerta de Hierro, s/n Ciudad Universitaria 28040 Madrid",91 394 40 04,www.ucm.es,pweb@estad.ucm.es
Estadística y Empresa,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas Campus de Getafe,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es
Ciencia de los Datos Aplicada,Universidad Complutense de Madrid,Pública,Facultad de Estudios Estadísticos,"Avda. Puerta de Hierro, s/n Ciudad Universitaria 28040 Madrid",91 394 40 04,www.ucm.es,pweb@estad.ucm.es
Geografía y Ordenación del Territorio,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es
Geografía y Ordenación del Territorio,Universidad Complutense de Madrid,Pública,Facultad de Geografía e Historia Edificio B Campus Ciudad Universitaria,"C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid",91 394 57 41,www.ucm.es,informacion@ucm.es
Gestión Urbana / Bachelor of Urban Management / Estudios Urbanos,,,,,,,
Gestión Aeronáutica,Universidad Autónoma de Madrid,Pública,Facultad de CC,"C/ Francisco Tomás y Valiente, 5 28049 Madrid",91 497 62 89,www.uam.es,grado.ga.economicas@uam.es
Información y Documentación,Universidad Complutense de Madrid,Pública,Facultad de Ciencias de la Documentación,"C/ Santísima Trinidad, 37 28010 Madrid",91 394 66 62,www.ucm.es,infccdoc@ucm.es
Lengua de Signos Española y Comunidad SordaÁrea de Lengua de Signos Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus de Alcorcón,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 83 46 / 91 488 89 17,www.urjc.es,alcorcon.secretariadealumnos@urjc.es | ferraz.secretaria@urjc.es
Lengua de Signos Española y Comunidad SordaÁrea de Lengua de Signos Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus de Alcorcón,"C/ Quintana, 21 28008 Madrid",91 488 83 46 / 91 488 89 17,www.urjc.es,alcorcon.secretariadealumnos@urjc.es | ferraz.secretaria@urjc.es
Comunicación Audiovisual,Universidad Camilo José Cela,Privada,Facultad de Comunicación y Humanidades Campus Villafranca,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,ucjc@ucjc.edu
Comunicación Audiovisual,Universidad de Alcalá,Pública,Facultad de Filosofía y Letras Campus Guadalajara,"C/ Madrid, 1 19001 Guadalajara",91 885 50 00,www.uah.es/facultadfilosofiayletras,decanato.fyl@uah.es
Comunicación Audiovisual,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Comunicación Audiovisual,Universidad Carlos III de Madrid,Pública,"Facultad de Humanidades, Comunicación y Documentación Campus de Getafe","C/ Madrid, 133 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es
Comunicación Audiovisual,Universidad Complutense de Madrid,Pública,Facultad de Ciencias de la Información Campus Ciudad Universitaria,"Avda. Complutense, s/n Ciudad Universitaria 28040 Madrid",91 394 21 12,www.ucm.es,secre.alumnos@ccinf.ucm.es
Comunicación Audiovisual,Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus Villaviciosa de Odón,"C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Comunicación Audiovisual,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Comunicación Ctra,,91 351 03 03,www.ufv.es,info@ufv.es
Comunicación Audiovisual,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com
Comunicación Audiovisual,Universidad Internacional Villanueva,Privada,Facultad de Ciencias Sociales y Jurídicas,"C/ de la Costa Brava, 6 28034 Madrid",91 734 04 13,www.villanueva.edu,info@villanueva.edu
Comunicación Audiovisual,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus de Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Comunicación Audiovisual,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus de Fuenlabrada,"Paseo de Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Comunicación Audiovisual,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"Paseo de Juan XXIII, 10 28040 Madrid",91 456 63 00 / 91 514 04 04,www.uspceu.com,info.usp@ceu.es
Gestión y Comunicación de la Moda,,,,"Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28,www.udit.es,secretaria.alumnos@udit.es
Comunicación y Medios Digitales,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Comunicación y Medios Digitales,Universidad Carlos III de Madrid,Pública,"Facultad de Humanidades, Comunicación y Documentación Campus de Getafe","C/ Madrid, 133 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es
Comunicación y Medios Digitales,Universidad Complutense de Madrid,Pública,Facultad de Ciencias de la Información Campus Ciudad Universitaria,"Avda. Complutense, s/n 28040 Madrid",91 394 21 20,www.ucm.es,secre.alumnos@ccinf.ucm.es
Comunicación y Medios Digitales,Universidad a Distancia de Madrid – UDIMA,Privada,Facultad Ciencias Sociales y Humanidades Ctra,,91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es
Comunicación y Medios Digitales,Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,,ads@universidadeuropea.es
Comunicación y Medios Digitales,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Comunicación Ctra,,91 351 03 03,www.ufv.es,info@ufv.es
Comunicación y Medios Digitales,Universidad Internacional Villanueva,Privada,Facultad de Ciencias Sociales y Jurídicas,"C/ de la Costa Brava, 6 28034 Madrid",91 734 04 13,www.villanueva.edu,info@villanueva.edu
Comunicación y Medios Digitales,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus de Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Comunicación y Medios Digitales,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus de Fuenlabrada,"Paseo de Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Publicidad,Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Co municación Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Publicidad,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Comunicación Ctra,,91 351 03 03,www.ufv.es,info@ufv.esGrado
Publicidad y Relaciones Públicas,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Publicidad y Relaciones Públicas,Universidad Complutense de Madrid,Pública,Facultad de Ciencias de la Información Campus Ciudad Universitaria,"Avda. Complutense, s/n Ciudad Universitaria 28040 Madrid",91 394 21 12,www.ucm.es,secre.alumnos@ccinf.ucm.es
Publicidad y Relaciones Públicas,Universidad a Distancia de Madrid – UDIMA,Privada,Facultad Ciencias Sociales y Humanidades Ctra,,902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es
Publicidad y Relaciones Públicas,,,,"Avda. de Valdenigrales, s/n 28224 Pozuelo de Alarcón (Madrid)",,www.esic.edu/university,info.madrid@esic.edu
Publicidad y Relaciones Públicas,Universidad Internacional Villanueva,Privada,Facultad de Ciencias Sociales y Jurídicas,"C/ de la Costa Brava, 6 28034 Madrid",91 734 04 13,www.villanueva.edu,info@villanueva.edu
Publicidad y Relaciones Públicas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus de Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Publicidad y Relaciones Públicas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus de Fuenlabrada,"Paseo de Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Publicidad y Relaciones Públicas,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"Paseo de Juan XXIII, 10 28040 Madrid",91 456 63 00 / 91 514 04 04,www.uspceu.com,usp@ceu.es
Publicidad Creativa,Universidad Camilo José Cela,Privada,Facultad de Comunicación y Humanidades Campus Villafranca,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu
Publicidad y Creación de Marca,,,,"Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28,www.udit.com,secretaria.alumnos@udit.es
Artes Digitales / Bachelor of Digital ArtsÁrea de Entorno Digital Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Camilo José Cela,Privada,Facultad de Tecnología y Ciencia Campus Almagro,"C/ Almagro, 5 28010 Madrid",91 298 01 23,,ucjc@ucjc.edu
Comunicación Digital,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus de Fuenlabrada,"Camino del Molino, 5 28942 Fuenlabrada (Madrid)",91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es
Comunicación Digital,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"Paseo de Juan XXIII, 10 28040 Madrid",91 456 63 00 / 91 514 04 04,www.uspceu.com,info.usp@ceu.esGrado
Diseño Digital y Multimedia,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Gestión de la Ciberseguridad,Universidad Francisco de Vitoria,Privada,"Facultad de Derecho, Empresa y Gobierno Ctra",,91 351 03 03,www.ufv.es,info@ufv.es
Creación y Narración de Videojuegos,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Comunicación Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Trabajo SocialÁrea de Trabajo Social Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Complutense de Madrid,Pública,Facultad de Trabajo Social Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels,,91 394 29 99,www.ucm.es,infotrs@trs.ucm.es
Trabajo SocialÁrea de Trabajo Social Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Derecho Campus Moncloa,"C/ Obispo Trejo, 2 28040 Madrid",91 398 81 33,www.uned.es,negociadosecretaria@der.uned.es
Trabajo SocialÁrea de Trabajo Social Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco,"C/ Universidad de Comillas, 35 28049 Madrid",91 452 28 00,www.comillas.edu,grado@comillas.edu
Trabajo SocialÁrea de Trabajo Social Rama de conocimiento Ciencias Sociales y Jurídicas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Política Campus de Alcorcón,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 88 00 / 91 488 89 17,www.urjc.es,alcorcon.secretariadealumnos@urjc.es
Empresas y Actividades Turísticas,Universidad de Alcalá,Pública,"Facultad de Ciencias Económicas, Empresariales y Turismo Campus Guadalajara Edificio Multidepartamental","C/ Cifuentes, 28 19003 Guadalajara",949 20 96 60,www.uah.es/facultadcceeturismo,secretaria.multidepar@uah.es
Empresas y Actividades Turísticas,Universidad Antonio de Nebrija,Privada,Facultad de Economía y Empresa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com
Empresas y Actividades Turísticas,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Económicas y Empresariales Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 5 28049 Madrid",91 497 62 88,www.uam.es,grado.turismo.econominas@uam.es
Empresas y Actividades Turísticas,Universidad Carlos III de Madrid,Pública,,"C/ Madrid,126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es
Empresas y Actividades Turísticas,Universidad Complutense de Madrid,Pública,Facultad de Comercio y Turismo,"Avda. Filipinas, 3 28003 Madrid",91 394 67 67,www.ucm.es,alumnos.fct@ucm.es
